City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Ghanzi,BW,75.2,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
8,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
9,Bartica,GY,82.72,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
16,Atuona,PF,76.89,scattered clouds,-9.8,-139.0333,Villa Enata
17,Parrita,CR,81.54,overcast clouds,9.5201,-84.3225,Beso del Viento
26,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
35,Bandarbeyla,SO,77.22,overcast clouds,9.4942,50.8122,JABIR HOTEL
37,Medicine Hat,CA,78.85,scattered clouds,50.0501,-110.6683,Sun Dek Motel
48,Mubi,NG,75.52,broken clouds,10.2676,13.2644,LASVEGAS BAR AND MOTEL
49,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
56,Lorengau,PG,84.65,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
61,Nishihara,JP,78.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
65,Le Vauclin,MQ,82.45,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
69,Kapaa,US,86.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Hithadhoo,MV,80.35,overcast clouds,-0.6,73.0833,Scoop Guest House
72,Meulaboh,ID,75.92,overcast clouds,4.1363,96.1285,Kost Pria
83,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
85,Inirida,CO,77.07,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
86,San Quintin,MX,77.25,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
89,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
102,Bonfim,BR,80.82,light rain,3.0833,-59.95,
103,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
108,North Platte,US,77.11,scattered clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
110,Faanui,PF,78.17,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
115,Nabire,ID,79.14,broken clouds,-3.3667,135.4833,Hotel Nusantara I
125,Sao Filipe,CV,78.42,overcast clouds,14.8961,-24.4956,Hotel Xaguate
126,Labuhan,ID,78.33,overcast clouds,-6.8844,112.2051,DoubleFAG
129,Hilo,US,86.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
130,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
131,Pingshan,CN,75.24,few clouds,22.9938,114.7131,Island Skylight Resort
132,Hopelchen,MX,86.59,overcast clouds,19.7667,-89.85,Hotel Jaguar
136,Butaritari,KI,81.59,clear sky,3.0707,172.7902,Isles Sunset Lodge
140,Zhanjiang,CN,76.14,broken clouds,21.2815,110.3427,创业旅店
141,Poquoson,US,84.0,overcast clouds,37.1224,-76.3458,Whitehouse Cove
147,Mana,GF,80.31,clear sky,5.6592,-53.7767,LE SAMANA
153,Nicoya,CR,76.66,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
162,Amapa,BR,81.21,few clouds,1.0,-52.0,
166,Surin,TH,75.58,overcast clouds,14.8818,103.4936,One Fu Hotel
177,Bengkulu,ID,75.09,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
179,Jalu,LY,78.89,clear sky,29.0331,21.5482,صاحبة الفخامة
180,Humberto De Campos,BR,77.56,clear sky,-2.5983,-43.4611,Pousada do Cabeça
183,Dodge City,US,80.24,clear sky,37.7528,-100.0171,Windsor Inn & Suites
185,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
190,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
192,Arcos,BR,76.8,broken clouds,-20.2819,-45.5394,ATA TUR VIAGENS
198,Fonte Boa,BR,80.82,light rain,-2.4959,-66.2662,
199,Pandan,PH,80.44,overcast clouds,14.0453,124.1694,Bonifacio Lodge
203,Mandali,IQ,78.15,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
205,Boffa,GN,76.5,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
206,Machiques,VE,78.98,overcast clouds,10.0644,-72.545,hotel el markes
207,Keti Bandar,PK,81.7,overcast clouds,24.1447,67.4497,Haji laloo memon house
208,Victoria,HK,82.45,few clouds,22.2855,114.1577,Mini Central
214,Puerto Escondido,MX,85.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
222,Guerrero Negro,MX,79.2,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
227,Eureka,US,89.74,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
229,Kerema,PG,82.36,overcast clouds,-7.9631,145.7785,Frena Lodge
241,Tete,MZ,82.49,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
250,Lompoc,US,87.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
253,Vanimo,PG,82.0,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
255,Manubul,PH,82.49,overcast clouds,5.4732,120.7986,Silasuk Beach
256,Saint-Marc,HT,83.1,broken clouds,19.1082,-72.6938,Maguana Hotel
259,Sinnamary,GF,80.33,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
266,Sabha,LY,81.45,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
267,Bourail,NC,79.68,clear sky,-21.5667,165.4833,Motel Allamanda
272,Massakory,TD,86.92,clear sky,12.996,15.7293,Chabakari - Am Doukhan
273,Itarema,BR,78.46,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
274,Trat,TH,79.88,overcast clouds,12.5,102.5,สวนหนิง-อัศ
277,Itoman,JP,79.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
278,Moultrie,US,85.82,clear sky,31.1799,-83.7891,Moultrie Inn
279,Atar,MR,78.85,heavy intensity rain,20.5169,-13.0499,Oumou Elghoura
281,Jasidih,IN,76.66,overcast clouds,24.5167,86.65,OYO 18873 Hotel Comfort
285,Dhidhdhoo,MV,81.93,overcast clouds,6.8833,73.1,Dhidhoo beach
287,Kavieng,PG,84.2,few clouds,-2.5744,150.7967,Nusa Island Retreat
288,Riyadh,SA,87.94,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
289,Baghdad,IQ,76.91,clear sky,33.3406,44.4009,Baghdad Hotel
290,Ocos,GT,86.18,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
292,Touros,BR,77.05,clear sky,-5.1989,-35.4608,INN NEW HORIZON
295,Mitsamiouli,KM,75.99,scattered clouds,-11.3847,43.2844,Foyer ADM
296,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
