City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tocopilla,CL,2022-09-25 22:24:23,-22.092,-70.1979,64.09,66,22,10.98,few clouds
1,Olafsvik,IS,2022-09-25 22:24:24,64.8945,-23.7142,45.07,62,1,10.96,clear sky
2,Arica,CL,2022-09-25 22:24:24,-18.475,-70.3042,63.95,67,0,11.5,clear sky
3,Rikitea,PF,2022-09-25 22:24:24,-23.1203,-134.9692,69.04,59,0,15.5,clear sky
4,Barrow,US,2022-09-25 22:24:25,71.2906,-156.7887,32.02,80,100,14.97,light snow
5,Albany,US,2022-09-25 22:24:25,42.6001,-73.9662,64.38,81,96,1.01,overcast clouds
6,Ghanzi,BW,2022-09-25 22:24:25,-21.5667,21.7833,75.2,20,0,11.56,clear sky
7,Arkadak,RU,2022-09-25 22:24:25,51.9326,43.4978,45.57,88,100,15.77,overcast clouds
8,Avarua,CK,2022-09-25 22:24:26,-21.2078,-159.775,78.85,73,75,13.8,broken clouds
9,Bartica,GY,2022-09-25 22:24:26,6.4,-58.6167,82.72,93,68,1.72,broken clouds
10,New Norfolk,AU,2022-09-25 22:24:26,-42.7826,147.0587,53.71,77,8,2.75,clear sky
11,Busselton,AU,2022-09-25 22:24:27,-33.65,115.3333,48.78,87,0,5.06,clear sky
12,Hobart,AU,2022-09-25 22:20:50,-42.8794,147.3294,54.05,74,0,8.05,clear sky
13,Carnarvon,AU,2022-09-25 22:24:27,-24.8667,113.6333,61.36,55,1,20.45,clear sky
14,East London,ZA,2022-09-25 22:21:56,-33.0153,27.9116,66.06,75,66,12.75,broken clouds
15,Kahului,US,2022-09-25 22:24:27,20.8947,-156.47,91.42,49,40,19.57,scattered clouds
16,Atuona,PF,2022-09-25 22:24:28,-9.8,-139.0333,76.89,76,25,18.28,scattered clouds
17,Parrita,CR,2022-09-25 22:24:28,9.5201,-84.3225,81.54,77,100,4.18,overcast clouds
18,Namibe,AO,2022-09-25 22:24:28,-15.1961,12.1522,64.06,75,82,8.41,broken clouds
19,Omsukchan,RU,2022-09-25 22:24:29,62.5333,155.8,26.62,88,100,0.87,overcast clouds
20,Iqaluit,CA,2022-09-25 22:24:29,63.7506,-68.5145,35.33,80,20,3.44,few clouds
21,Muhos,FI,2022-09-25 22:24:29,64.808,25.9931,44.38,92,75,4.74,broken clouds
22,Cuenca,EC,2022-09-25 22:23:51,-2.8833,-78.9833,53.73,87,75,13.8,thunderstorm with heavy rain
23,Lasa,IT,2022-09-25 22:24:30,46.6166,10.7002,50.88,95,100,2.93,overcast clouds
24,Luderitz,NA,2022-09-25 22:24:30,-26.6481,15.1594,55.02,80,71,3.78,broken clouds
25,Goderich,CA,2022-09-25 22:24:30,43.7501,-81.7165,60.91,72,100,12.66,overcast clouds
26,Alofi,NU,2022-09-25 22:24:31,-19.0595,-169.9187,75.09,94,100,3.44,overcast clouds
27,Nosy Varika,MG,2022-09-25 22:24:31,-20.5833,48.5333,66.09,91,33,3.11,light rain
28,Provideniya,RU,2022-09-25 22:24:31,64.3833,-173.3,39.36,81,100,13.42,overcast clouds
